Country_code,INDICATOR,SUBJECT,Year,Value
AUS,PISAMATH,TOT,2015,494
AUT,PISAMATH,TOT,2015,497
BEL,PISAMATH,TOT,2015,507
CAN,PISAMATH,TOT,2015,516
CZE,PISAMATH,TOT,2015,492
DNK,PISAMATH,TOT,2015,511
FIN,PISAMATH,TOT,2015,511
FRA,PISAMATH,TOT,2015,493
DEU,PISAMATH,TOT,2015,506
GRC,PISAMATH,TOT,2015,454
HUN,PISAMATH,TOT,2015,477
ISL,PISAMATH,TOT,2015,488
IRL,PISAMATH,TOT,2015,504
ITA,PISAMATH,TOT,2015,490
JPN,PISAMATH,TOT,2015,532
KOR,PISAMATH,TOT,2015,524
LUX,PISAMATH,TOT,2015,486
MEX,PISAMATH,TOT,2015,408
NLD,PISAMATH,TOT,2015,512
NZL,PISAMATH,TOT,2015,495
NOR,PISAMATH,TOT,2015,502
POL,PISAMATH,TOT,2015,504
PRT,PISAMATH,TOT,2015,492
SVK,PISAMATH,TOT,2015,475
ESP,PISAMATH,TOT,2015,486
SWE,PISAMATH,TOT,2015,494
CHE,PISAMATH,TOT,2015,521
TUR,PISAMATH,TOT,2015,420
GBR,PISAMATH,TOT,2015,492
USA,PISAMATH,TOT,2015,470
BRA,PISAMATH,TOT,2015,377
CHL,PISAMATH,TOT,2015,423
EST,PISAMATH,TOT,2015,520
IDN,PISAMATH,TOT,2015,386
ISR,PISAMATH,TOT,2015,470
LVA,PISAMATH,TOT,2015,482
RUS,PISAMATH,TOT,2015,494
SVN,PISAMATH,TOT,2015,510
OAVG,PISAMATH,TOT,2015,490
COL,PISAMATH,TOT,2015,390
HKG,PISAMATH,TOT,2015,548
PER,PISAMATH,TOT,2015,387
SGP,PISAMATH,TOT,2015,564
TWN,PISAMATH,TOT,2015,542
MAC,PISAMATH,TOT,2015,544
