Country_code,INDICATOR,SUBJECT,Year,MATH2015
AUS,PISAMATH,TOT,2015,494.0
AUT,PISAMATH,TOT,2015,497.0
BEL,PISAMATH,TOT,2015,507.0
CAN,PISAMATH,TOT,2015,516.0
CZE,PISAMATH,TOT,2015,492.0
DNK,PISAMATH,TOT,2015,511.0
FIN,PISAMATH,TOT,2015,511.0
FRA,PISAMATH,TOT,2015,493.0
DEU,PISAMATH,TOT,2015,506.0
GRC,PISAMATH,TOT,2015,454.0
HUN,PISAMATH,TOT,2015,477.0
ISL,PISAMATH,TOT,2015,488.0
IRL,PISAMATH,TOT,2015,504.0
ITA,PISAMATH,TOT,2015,490.0
JPN,PISAMATH,TOT,2015,532.0
KOR,PISAMATH,TOT,2015,524.0
LUX,PISAMATH,TOT,2015,486.0
MEX,PISAMATH,TOT,2015,408.0
NLD,PISAMATH,TOT,2015,512.0
NZL,PISAMATH,TOT,2015,495.0
NOR,PISAMATH,TOT,2015,502.0
POL,PISAMATH,TOT,2015,504.0
PRT,PISAMATH,TOT,2015,492.0
SVK,PISAMATH,TOT,2015,475.0
ESP,PISAMATH,TOT,2015,486.0
SWE,PISAMATH,TOT,2015,494.0
CHE,PISAMATH,TOT,2015,521.0
TUR,PISAMATH,TOT,2015,420.0
GBR,PISAMATH,TOT,2015,492.0
USA,PISAMATH,TOT,2015,470.0
BRA,PISAMATH,TOT,2015,377.0
CHL,PISAMATH,TOT,2015,423.0
EST,PISAMATH,TOT,2015,520.0
IDN,PISAMATH,TOT,2015,386.0
ISR,PISAMATH,TOT,2015,470.0
LVA,PISAMATH,TOT,2015,482.0
RUS,PISAMATH,TOT,2015,494.0
SVN,PISAMATH,TOT,2015,510.0
OAVG,PISAMATH,TOT,2015,490.0
COL,PISAMATH,TOT,2015,390.0
HKG,PISAMATH,TOT,2015,548.0
PER,PISAMATH,TOT,2015,387.0
SGP,PISAMATH,TOT,2015,564.0
TWN,PISAMATH,TOT,2015,542.0
MAC,PISAMATH,TOT,2015,544.0
