Country_code,INDICATOR,SUBJECT,Year,READ2015
AUS,PISAREAD,TOT,2015,503.0
AUT,PISAREAD,TOT,2015,485.0
BEL,PISAREAD,TOT,2015,499.0
CAN,PISAREAD,TOT,2015,527.0
CZE,PISAREAD,TOT,2015,487.0
DNK,PISAREAD,TOT,2015,500.0
FIN,PISAREAD,TOT,2015,526.0
FRA,PISAREAD,TOT,2015,499.0
DEU,PISAREAD,TOT,2015,509.0
GRC,PISAREAD,TOT,2015,467.0
HUN,PISAREAD,TOT,2015,470.0
ISL,PISAREAD,TOT,2015,482.0
IRL,PISAREAD,TOT,2015,521.0
ITA,PISAREAD,TOT,2015,485.0
JPN,PISAREAD,TOT,2015,516.0
KOR,PISAREAD,TOT,2015,517.0
LUX,PISAREAD,TOT,2015,481.0
MEX,PISAREAD,TOT,2015,423.0
NLD,PISAREAD,TOT,2015,503.0
NZL,PISAREAD,TOT,2015,509.0
NOR,PISAREAD,TOT,2015,513.0
POL,PISAREAD,TOT,2015,506.0
PRT,PISAREAD,TOT,2015,498.0
SVK,PISAREAD,TOT,2015,453.0
ESP,PISAREAD,TOT,2015,496.0
SWE,PISAREAD,TOT,2015,500.0
CHE,PISAREAD,TOT,2015,492.0
TUR,PISAREAD,TOT,2015,428.0
GBR,PISAREAD,TOT,2015,498.0
USA,PISAREAD,TOT,2015,497.0
BRA,PISAREAD,TOT,2015,407.0
CHL,PISAREAD,TOT,2015,459.0
EST,PISAREAD,TOT,2015,519.0
IDN,PISAREAD,TOT,2015,397.0
ISR,PISAREAD,TOT,2015,479.0
LVA,PISAREAD,TOT,2015,488.0
RUS,PISAREAD,TOT,2015,495.0
SVN,PISAREAD,TOT,2015,505.0
OAVG,PISAREAD,TOT,2015,493.0
COL,PISAREAD,TOT,2015,425.0
HKG,PISAREAD,TOT,2015,527.0
PER,PISAREAD,TOT,2015,398.0
SGP,PISAREAD,TOT,2015,535.0
TWN,PISAREAD,TOT,2015,497.0
MAC,PISAREAD,TOT,2015,509.0
